compound_name,generic_name,indication_name,therapeutic_area,phase,filing_date,mechanism_of_action,indication_type
YMI024,YMI024,CVRR,"Cardiovascular, Renal and Metabolic",Phase 1,,,Lead Indication
YTB323,rapcabtagene autoleucel,"Rheumatoid arthritis and severe, refractory Sjögren’s disease",Immunology,Phase 1,,CD19 CAR-T,
YTB323,rapcabtagene autoleucel,Systemic sclerosis,Immunology,Phase 2,≥ 2029,CD19 CAR-T,Supplementary Indication
YTB323,rapcabtagene autoleucel,ANCA associated vasculitis,Immunology,Phase 2,≥ 2029,CD19 CAR-T,Supplementary Indication
YTB323,rapcabtagene autoleucel,Myositis,Immunology,Phase 2,≥ 2029,CD19 CAR-T,Supplementary Indication
YTB323,rapcabtagene autoleucel,Active refractory lupus nephritis,Immunology,Phase 2,2028,CD19 CAR-T,Lead Indication
YTB323,rapcabtagene autoleucel,Active refractory systemic lupus erythematosus,Immunology,Phase 2,2028,CD19 CAR-T,Supplementary Indication
YTB323,rapcabtagene autoleucel,Relapsing multiple sclerosis,Neuroscience,Phase 1,,CD19 CAR-T,
YTB323,rapcabtagene autoleucel,Primary progressive multiple sclerosis,Neuroscience,Phase 1,,CD19 CAR-T,
YTB323,rapcabtagene autoleucel,Generalized Myasthenia Gravis,Neuroscience,Phase 1,,CD19 CAR-T,
YTB323,rapcabtagene autoleucel,1L high-risk large B-cell lymphoma,Oncology: Hematology,Phase 2,≥ 2029,CD19 CAR-T,Supplementary Indication
